https://www.michiganlottery.com/resources/number-tools?SELECTED_TOOL=PAST_RESULTS&SELECTED_GAME=6
"Draw Date","Winning Numbers","Drawing Type"
"03/09/2022","16,17,22,28,32,34","DOUBLE PLAY DRAWING"
"03/05/2022","5,7,15,18,19,35","REGULAR DRAWING"
"03/05/2022","4,28,29,30,40,47","DOUBLE PLAY DRAWING"
"03/02/2022","14,22,27,30,32,40","REGULAR DRAWING"
"03/02/2022","3,29,32,33,34,35","DOUBLE PLAY DRAWING"
"02/26/2022","8,15,22,28,43,46","REGULAR DRAWING"
"02/26/2022","6,7,20,24,41,45","DOUBLE PLAY DRAWING"
"02/23/2022","6,10,20,26,28,45","REGULAR DRAWING"
"02/23/2022","11,18,23,28,39,47","DOUBLE PLAY DRAWING"
"02/19/2022","7,14,26,29,43,47","REGULAR DRAWING"
"02/19/2022","2,3,4,14,19,40","DOUBLE PLAY DRAWING"
"02/16/2022","6,11,12,31,38,43","REGULAR DRAWING"
"02/16/2022","13,17,28,30,31,43","DOUBLE PLAY DRAWING"
"02/12/2022","6,22,32,33,40,46","REGULAR DRAWING"
"02/12/2022","21,33,36,37,43,47","DOUBLE PLAY DRAWING"
"02/09/2022","3,4,12,13,34,42","REGULAR DRAWING"
"02/09/2022","4,11,22,26,30,36","DOUBLE PLAY DRAWING"
"02/05/2022","1,17,25,32,36,39","REGULAR DRAWING"
"02/05/2022","1,2,9,12,26,46","DOUBLE PLAY DRAWING"
"02/02/2022","3,4,5,25,34,37","REGULAR DRAWING"
"02/02/2022","6,12,14,24,33,47","DOUBLE PLAY DRAWING"
"01/29/2022","4,22,29,40,44,45","REGULAR DRAWING"
"01/29/2022","13,21,33,36,38,47","DOUBLE PLAY DRAWING"
"01/26/2022","5,16,25,34,38,43","REGULAR DRAWING"
"01/26/2022","12,22,32,33,42,45","DOUBLE PLAY DRAWING"
"01/22/2022","8,22,28,31,35,42","REGULAR DRAWING"
"01/22/2022","25,27,33,34,37,42","DOUBLE PLAY DRAWING"
"01/19/2022","7,12,19,30,43,47","REGULAR DRAWING"
"01/19/2022","7,11,12,20,27,32","DOUBLE PLAY DRAWING"
"01/15/2022","1,6,19,33,35,38","REGULAR DRAWING"
"01/15/2022","13,25,33,37,40,46","DOUBLE PLAY DRAWING"
"01/12/2022","1,15,21,23,27,31","REGULAR DRAWING"
"01/12/2022","4,6,8,17,23,39","DOUBLE PLAY DRAWING"
"01/08/2022","2,7,13,23,26,28","REGULAR DRAWING"
"01/08/2022","16,18,24,31,43,46","DOUBLE PLAY DRAWING"
"01/05/2022","14,15,17,25,33,38","REGULAR DRAWING"
"01/05/2022","1,4,13,15,29,42","DOUBLE PLAY DRAWING"
"01/01/2022","12,15,20,39,44,46","REGULAR DRAWING"
"01/01/2022","4,6,15,35,41,42","DOUBLE PLAY DRAWING"
"12/29/2021","9,18,26,31,42,47","REGULAR DRAWING"
"12/29/2021","23,24,25,26,34,37","DOUBLE PLAY DRAWING"
"12/25/2021","6,17,18,27,28,39","REGULAR DRAWING"
"12/25/2021","8,9,14,34,37,42","DOUBLE PLAY DRAWING"
"12/22/2021","1,2,9,20,21,44","REGULAR DRAWING"
"12/22/2021","9,18,19,27,34,43","DOUBLE PLAY DRAWING"
"12/18/2021","6,14,24,31,37,45","REGULAR DRAWING"
"12/18/2021","7,15,29,38,39,43","DOUBLE PLAY DRAWING"
"12/15/2021","1,8,9,12,20,22","REGULAR DRAWING"
"12/15/2021","5,6,17,23,29,31","DOUBLE PLAY DRAWING"
"12/11/2021","4,6,12,13,18,27","REGULAR DRAWING"
"12/11/2021","6,16,17,27,40,46","DOUBLE PLAY DRAWING"
"12/08/2021","8,17,26,29,41,44","REGULAR DRAWING"
"12/08/2021","8,10,29,33,43,46","DOUBLE PLAY DRAWING"
"12/04/2021","19,25,27,32,41,44","REGULAR DRAWING"
"12/04/2021","3,14,30,32,35,40","DOUBLE PLAY DRAWING"
"12/01/2021","2,12,13,22,39,40","REGULAR DRAWING"
"12/01/2021","1,13,17,19,32,38","DOUBLE PLAY DRAWING"
"11/27/2021","8,13,16,17,24,33","REGULAR DRAWING"
"11/27/2021","2,17,18,19,34,44","DOUBLE PLAY DRAWING"
"11/24/2021","5,14,26,34,36,41","REGULAR DRAWING"
"11/24/2021","3,5,7,45,46,47","DOUBLE PLAY DRAWING"
"11/20/2021","4,9,11,25,26,36","REGULAR DRAWING"
"11/20/2021","4,5,10,11,14,37","DOUBLE PLAY DRAWING"
"11/17/2021","13,28,30,37,38,44","REGULAR DRAWING"
"11/17/2021","14,18,27,28,38,45","DOUBLE PLAY DRAWING"
"11/13/2021","10,11,27,38,40,42","REGULAR DRAWING"
"11/13/2021","8,24,25,28,31,37","DOUBLE PLAY DRAWING"
"11/10/2021","6,9,22,28,44,47","REGULAR DRAWING"
"11/10/2021","9,12,18,20,28,30","DOUBLE PLAY DRAWING"
"11/06/2021","5,17,29,30,42,46","REGULAR DRAWING"
"11/06/2021","4,18,26,32,34,45","DOUBLE PLAY DRAWING"
"11/03/2021","5,29,33,37,38,45","REGULAR DRAWING"
"11/03/2021","2,16,22,29,33,36","DOUBLE PLAY DRAWING"
"10/30/2021","4,7,12,13,30,32","REGULAR DRAWING"
"10/30/2021","5,6,8,13,20,38","DOUBLE PLAY DRAWING"
"10/27/2021","4,7,23,28,31,43","REGULAR DRAWING"
"10/27/2021","9,11,17,32,37,45","DOUBLE PLAY DRAWING"
"10/23/2021","8,26,28,29,35,37","REGULAR DRAWING"
"10/23/2021","1,7,22,24,33,36","DOUBLE PLAY DRAWING"
"10/20/2021","2,19,21,25,27,31","REGULAR DRAWING"
"10/20/2021","2,6,23,26,33,41","DOUBLE PLAY DRAWING"
"10/16/2021","4,5,11,29,39,44","REGULAR DRAWING"
"10/16/2021","5,18,23,28,36,47","DOUBLE PLAY DRAWING"
"10/13/2021","21,22,24,26,27,38","REGULAR DRAWING"
"10/13/2021","3,18,30,44,46,47","DOUBLE PLAY DRAWING"
